PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MIN_HANDLING_TIME,MAX_HANDLING_TIME,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME)
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.571-07:00,27500001_03,Regál AXEL 146-19,Vysoký regál s policemi ze série Axel. Tradičně působící nábytek v kombinaci s borovicovým dřevem působí útulně.,https://www.jdoqocy.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1002537.3-regal-axel-146-19,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/27/827/827-1-regal.jpg,,,in stock,,,4299.00 CZK,4299.00 CZK,,,,,,,,"Komody,skříňky a vitríny>Regály>Stojací regály",ASKO - NÁBYTEK,,,no,new,,,,,,,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.717-07:00,10170007_04,Látkový povlak pro postel Keni PIRAT 60950,"Veselý povlak látkového domečku pro zvýšenou postel Keni. Hnědá kombinace, s pirátským motivem.",https://www.dpbolvw.net/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1002724.3-latkovy-povlak-pro-postel-keni-pirat-60950,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/19/1319/1319-3-latkovy-povlak-pro-postel-keni.jpg,,,in stock,,,650.00 CZK,650.00 CZK,,,,,,,,Bytové doplňky>Drobné bytové doplňky>Dětské doplňky a příslušenství,ASKO - NÁBYTEK,,,no,new,,,,,,"Béžová,Hnědá",,,,,,,,sale,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.719-07:00,39990097_00,Jídelní stůl CT015 120x70,"Standardní moderní typ stolu na pochromované ocelové konstrukci. Deska stolu je tvořena mléčným tvrzeným sklem, které je trendem.",https://www.kqzyfj.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1003598.0-jidelni-stul-ct015-120x70,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/14/1514/1514-1-jidelni-stul.jpg,,,in stock,,,2499.00 CZK,2499.00 CZK,,,,,,4355,Nábytek > Stoly > Kuchyňské a jídelní stoly,Stoly a stolky>Jídelní stoly,ASKO - NÁBYTEK,,,no,new,,,,,,Bílá,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.720-07:00,86080011_02,Sada příborů Veselý pejsek,"Dětský příborový set 4-dílný, s motivem veselých pejsků jim bude chutnat lépe.",https://www.tkqlhce.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F125978.1-sada-priboru-vesely-pejsek,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/41/1541/1541-1-sada-priboru.jpg,,,in stock,,,199.00 CZK,199.00 CZK,,,,,,,,Bytové doplňky>Stolování a vaření>Příbory>Sady příborů,ASKO - NÁBYTEK,,,no,new,,,,,,Bílá,,Plast,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.722-07:00,39990032_00,Konferenční stolek FS4783,Pevný konferenční stolek na leskle chromových nohách a s deskou v kombinaci čirého a černého skla.,https://www.tkqlhce.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1003492.0-konferencni-stolek-fs4783,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/56/1556/1556-konferencni-stolek.jpg,,,in stock,,,1399.00 CZK,1399.00 CZK,,,,,,1395,Nábytek > Stoly > Malé stolky > Konferenční stolky,Stoly a stolky>Konferenční stolky,ASKO - NÁBYTEK,,,no,new,,,,,,Černá,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.724-07:00,39990109_00,Stolička FS4759,Komfortní polstrovaná stolička. Potažena černou ekokůží.,https://www.kqzyfj.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1003612.0-stolicka-FS4759,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/18/1518/1518-stolicka.jpg,,,in stock,,,269.00 CZK,269.00 CZK,,,,,,,,Bytové doplňky>Drobné bytové doplňky>Dětské doplňky a příslušenství,ASKO - NÁBYTEK,,,no,new,,,,,,Černá,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.779-07:00,39990109_01,Stolička FS4759,Komfortní polstrovaná stolička. Potažena bílou ekokůží.,https://www.tkqlhce.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1003612.1-stolicka-FS4759,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/19/1519/1519-stolicka.jpg,,,in stock,,,269.00 CZK,269.00 CZK,,,,,,,,Bytové doplňky>Drobné bytové doplňky>Dětské doplňky a příslušenství,ASKO - NÁBYTEK,,,no,new,,,,,,Bílá,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.781-07:00,39990036_00,Konferenční stolek FS4762,Elegantní stolek pro moderní obývací pokoje. Kombinace čirého a černě barveného zvýrazňuje jeho zaoblené hrany.,https://www.tkqlhce.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1003505.0-konferencni-stolek-fs4762,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/49/1749/1749-1-konferencni-stolek.jpg,,,in stock,,,1499.00 CZK,1499.00 CZK,,,,,,1395,Nábytek > Stoly > Malé stolky > Konferenční stolky,Stoly a stolky>Konferenční stolky,ASKO - NÁBYTEK,,,no,new,,,,,,Černá,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.791-07:00,39880007_00,Jídelní set Moskva,Malý jídelní set pro dva. Skládá se ze stolku a dvou židliček. Díky své velikosti najde své uplatnění v nejednom menším bytě.,https://www.jdoqocy.com/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F1002622.0-jidelni-set-moskva,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/59/1759/1759-jidelni-set.jpg,,,in stock,,,1499.00 CZK,1499.00 CZK,,,,,,,,Sestavy a stěny>Jídelní sestavy,ASKO - NÁBYTEK,,,no,new,,,,,,,,,,,,,,sale,,,,,,,,,,,,0,,,,,,,,
ASKO-NABYTEK.CZ,https://www.asko-nabytek.cz,Asko-nabytekCZ_google_all,2021-06-11T04:39:57.793-07:00,00850107_04,Konferenční stolek FUTURA II,Kvalitní stolek Futura II vyniká zajímavou konstrukcí s velmi dobrou pevností. Dekor dub řezaný.,https://www.anrdoezrs.net/click-3229932-13734996?url=https%3A%2F%2Fwww.asko-nabytek.cz%2F5005453.0-konferencni-stolek-futura-ii,https://www.awltovhc.com/image-3229932-13734996,https://www.asko-nabytek.cz/images/asko_nabytek_cz/product_detail/92/1792/1792-2-konferencni-stolek.jpg,,,in stock,,,2599.00 CZK,2599.00 CZK,,,,,,1395,Nábytek > Stoly > Malé stolky > Konferenční stolky,Stoly a stolky>Konferenční stolky,ASKO - NÁBYTEK,,,no,new,,,,,,,,,,,,,,standard,,,,,,,,,,,,0,,,,,,,,
