PROGRAM_NAME,PROGRAM_URL,CATALOG_NAME,LAST_UPDATED,ID,TITLE,DESCRIPTION,LINK,IMPRESSION_URL,IMAGE_LINK,MOBILE_LINK,ADDITIONAL_IMAGE_LINK,AVAILABILITY,AVAILABILITY_DATE,EXPIRATION_DATE,PRICE,SALE_PRICE,SALE_PRICE_EFFECTIVE_DATE,UNIT_PRICING_MEASURE,UNIT_PRICING_BASE_MEASURE,INSTALLMENT,LOYALTY_POINTS,GOOGLE_PRODUCT_CATEGORY,GOOGLE_PRODUCT_CATEGORY_NAME,PRODUCT_TYPE,BRAND,GTIN,MPN,IDENTIFIER_EXISTS,CONDITION,ADULT,MULTIPACK,IS_BUNDLE,ENERGY_EFFICIENCY_CLASS,AGE_GROUP,COLOR,GENDER,MATERIAL,PATTERN,SIZE,SIZE_TYPE,SIZE_SYSTEM,ITEM_GROUP_ID,CUSTOM_LABEL_0,CUSTOM_LABEL_1,CUSTOM_LABEL_2,CUSTOM_LABEL_3,CUSTOM_LABEL_4,PROMOTION_ID,SHIPPING_LABEL,SHIPPING_WEIGHT,SHIPPING_LENGTH,SHIPPING_WIDTH,SHIPPING_HEIGHT,MIN_HANDLING_TIME,MAX_HANDLING_TIME,SHIPPING(COUNTRY:REGION:SERVICE:PRICE),SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE),SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE),TAX(RATE:COUNTRY:TAX_SHIP:REGION),TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID),TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME)
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.982-07:00,11011,Odsavač par amica okc 951 s,"Komínový odsavač Amica OKC 951 S o šíře 90 cm si hravě poradí s nežádoucími zápachy a párami ve vaší kuchyni. Jeho maximální výkon odtahu činí 672 m3/h. Díky senzoru zápachu se digestoř sama spustí a automaticky nastaví intenzitu a čas s ohledem na potřeby kuchyně, ve které je umístěna. Na výběr máte ze 4 stupňů výkonu, které se snadno nastaví pomocí dotykového ovládání. Na přehledném elektronickém displeji se také zobrazuje úroveň práce ventilátoru a nastavení časovače - kdy se má digestoř sama vypnout. Také zde naleznete ukazatel znečištění filtrů, díky kterému budete vědět, kdy bude potřeba vyčistit hliníkový filtr či vyměnit filtr uhlíkový. Hliníkový filtr odděluje tuky od páry a tím brání usazování mastnoty na stěnách, nábytku či ventilačním potrubí. Filtr je vyroben z materiálu, který nepodléhá korozi a je možné ho opakovaně čistit. Pro ještě pohodlnější používání je digestoř vybavena halogenový osvětlením (2x20 W), které není závislé na funkci digestoře.",https://www.anrdoezrs.net/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fodsavac-par-amica-okc-951-s%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/odsavac-par-amica-okc-951-s-default-158105.jpg,,,in stock,,,12269.00 CZK,,,,,,,684,Dům a zahrada > Kuchyně a jídelny > Kuchyňské spotřebiče > Digestoře,NÁBYTEK > Velké domácí spotřebiče > Odsavače par > Komínové odsavače par,Amica,5906006602314,1060231,yes,new,,,,,,,,,,,,,,10001 - 15 000,,Výprodej,,,,,,,,,,,:::0.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.984-07:00,11015,Amica oks 652 t,"Odsavač par Amica OKS 652 T ve svém nerezovém provedení vkusně doplní vaši kuchyni a poslouži i jako výborný pomocník. O jeho činnosti informuje digitální displej, na kterém se zobrazuje např. který z 5 stupňů odsávání je právě aktivní. Maximální výkon odtahu je 538 m3/h. Pro nastavení stupňů slouží dálkové ovládání, kde lze jednoduše nastavit časovač- automatické vypnutí, které využijete třeba po vaření. Maximální hluková hladina je 68 dB. Na displeji také uvidíte míru znečištění filtrů. O osvětlení pod digestoří se postarají regulovatelné halogenové lampy s výkonem 2 x 20 W. Stylový a skvěle vybavený odsavač par, to je Amica OKS652T.",https://www.tkqlhce.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Famica-oks-652-t%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/amica-oks-652-t-default-2707.jpg,,,in stock,,,11110.00 CZK,,,,,,,684,Dům a zahrada > Kuchyně a jídelny > Kuchyňské spotřebiče > Digestoře,NÁBYTEK > Velké domácí spotřebiče > Odsavače par > Komínové odsavače par,Amica,5906006605148,,yes,new,,,,,,,,,,,,,,10001 - 15 000,,Výprodej,,,,,,,,,,,:::0.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.985-07:00,14141,Gorenje dk 9 p2x,"Vytváří design, který udává nejmodernější trendy ve všech odvětvých od automobilů až po průmyslový design. Jeho rukami prošly značky jako Ferrari, Alfa Romeo či Maserati. Stalo se symbolem kvality a luxusu. Italské designerské studio Pininfarina si získalo světové jméno díky preciznosti a inovativním řešením, která posunují design do nových rozměrů užitkovosti v dokonalé harmonii s ohromující krásou. Nyní ve spolupráci se značkou Gorenje vytvořili produkt, který posune vaši kuchyň do nových dimenzí. Exluzivní odsávač par Gorenje DK9P2X vynikne především ve stylových, perfektně sladěných kuchyních. Díky netradičnímu tvaru a kombinaci nerezového a černě lakovaného povrchu dokreslí jejich luxusní, moderní vzhled. Pokud chcete mít kuchyň, která vyrazí dech, ale zároveň ohromí svou užitkovostí, sáhněte po digestoři Gorenje DK9P2X v designu Pininfarina. Jelikož je odsávač par Gorenje DK9P2X chytrým kuchyňským pomocníkem, v jeho výbavě nesmí chybět dotykové ovládání. Pomocí něj nastavíte...",https://www.jdoqocy.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fgorenje-dk-9-p2x%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/gorenje-dk-9-p2x-default-773768.jpg,,,in stock,,,31691.00 CZK,,,,,,,684,Dům a zahrada > Kuchyně a jídelny > Kuchyňské spotřebiče > Digestoře,NÁBYTEK > Velké domácí spotřebiče > Odsavače par > Komínové odsavače par,Gorenje,3838942678134,470724,yes,new,,,,,,,,,,,,,,25 001 - 35 000,,Výprodej,,,,,,,,,,,:::0.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.987-07:00,56527,Mikrovlnná trouba mora mt 120w,"Mikrovlnná trouba Mora MT 120W nabízí dobrý výkon za příjemně nízkou cenu. Těšit se můžete na výkon 700 W a dostatečný vnitřní objem 20 l. Můžete si také zvolit mezi stupněm výkonu. V nabídce je jich 5 včetně funkce rozmrazování. Časovač vám poslouží až do výše 35 minut a singalizace vás upozorní ve chvíli, kdy bude ohřev hotov. Ovládání mikrovlnky Mora MT 120W zajistí otočná tlačítka na přední straně. kapacita 20 l 5 stupňů výkonu signalizace bílo-černé provedení",https://www.dpbolvw.net/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fmikrovlnna-trouba-mora-mt-120w%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/mikrovlnna-trouba-mora-mt-120w-default-91274.jpg,,,in stock,,,1431.00 CZK,,,,,,,753,Dům a zahrada > Kuchyně a jídelny > Kuchyňské spotřebiče > Mikrovlnné trouby,NÁBYTEK > Velké domácí spotřebiče > Mikrovlnné trouby a mini trouby > Volně stojící mikrovlnné trouby,Mora,3838942932243,728948,yes,new,,,,,,,,,,,,,,1 001 - 2 000,,,,"""1003"",""1009"",""1014"",""1017"",""1030"",""1036"",""1044"",""1060"",""1062"",""1070"",""1073"",""1078"",""1085"",""1093"",""1056"",""1097"",""1414"",""1705"",""1708"",""1709"",""1711"",""1424"",""1063""",,,,,,,,,:::0.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.989-07:00,58771,Jídelní set jídelní set new starter,"Jídelní set New Starter Jídelní set New Starter představuje spojení moderních kusů nábytku, které může výborně doplnit právě vaši kuchyň. Tento set je díky svému jednoduchému, praktickému designu a pevné konstrukci oblíbeným modelem. Židle a nohy stolu jsou vyrobeny z masivu, hlavní odkládací plocha stolu je z MDF. Celá sestava působí velice elegantně díky použitému dekoru espresso. Židle mají čalouněný sedák, pevnou opěrku a s přehledem splňují standard vysokého komfortu. Stůl disponuje velkorysými rozměry 114 x 75 x 74 cm, díky čemuž se u něj může sejít i početnější skupina lidí. Výhody: čalouněný sedák široká odkládací deska u stolu kvalitní a odolné materiály kompletní set - stůl a 4 židle Provedení: materiál židle: masiv materiál desky stolu: dřevovláknitá desky (MDF) materiál nohou stolu: masiv dekor: espreso rozměry stolu: 115 x 75 x 74 cm rozměry židle: 43 x 84 x 47 cm výška sedu: 45 cm Dodání: demontováno",https://www.dpbolvw.net/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fjidelni-set-new-starter%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/jidelni-set-jidelni-set-new-starter-default-44619.jpg,,,in stock,,,3999.00 CZK,,,,,,,638,Dům a zahrada > Kuchyně a jídelny,NÁBYTEK > Dřevěný nábytek > Jídelní sety,Halmar,2001001274399,909-0128/001,yes,new,,,,,,hnědá,,masiv / MDF,,,,,,2 001 - 4 000,,,7,,,,,,,,,,:::1.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.990-07:00,60037,"Válenda george 90x200, šedá, vč. matrace a úp","Věnujte pár minut svého času naší video recenzi k bližšímu poznání postele George Video recenze má ilustrativní charakter. Válenda George se od postele popsané v naší video recenzi liší v dekoru, rozměrech ložné plochy a nemá čelo. Praktické funkce válendy jsou totožné. Čalouněná postel George jako vkusný prvek pro každou ložnici Čalouněná válenda George je jednoznačnou ukázkou moderního designu. Střídající se barevné plochy uspořádané do strukturovaných linií velmi věrně připomínají okenní žaluzie. Každý prvek je typický jiným detailem, tato postel je jedinečná decentním abstraktním vzorem. Vkusný barevný svrchní motiv je doplněn šedým tónem lemujícím spodní část postele. Aby byla vizuální stránka postele vyrovnána do rovnocenné polohy, velmi efektivní a na pohled lehce postřehnutelné jsou nohy postele. Velký úložný prostor V hlavním horizontu postele se nachází úložný prostor, který je v dnešní době neodmyslitelnou součástí praktické postele. Při pohledu do vnitřních prostor vás...",https://www.jdoqocy.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fvalenda-george-90x200-seda-vc-matrace-a-up%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/valenda-george-90x200-seda-vc-matrace-a-up-default-1728231.jpg,,,in stock,,,5799.00 CZK,,,,,,,,,NÁBYTEK > Postele > Válendy,Blanář,8591822012217,885-0053/001,yes,new,,,,,,šedá,,,,,,,,4 001 - 6 000,,,6,,,,,,,,,,:::1.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.991-07:00,60173,"Válenda iveta 80x200, oranžová, vč. matrace a úp","Válenda Iveta Válenda Iveta o rozměrech spací plochy 80x200 cm je skvělým řešením do dětských pokojů, studentských bytů a nejen do nich. Máte-li doma nevyužitý pokojík, můžete si s pomocí této válendy zřídit praktický pokoj pro hosty. Díky provedení v jednoduchém moderním stylu lze využít opravdu kdekoliv a ušetří vám cenný prostor v interiéru. Kromě atraktivního vzhledu nabízí válenda Iveta ještě praktický úložný prostor. Je snadno přístupný z boku postele, stačí pouze zvednout horní část. Je navržen tak, aby pojal velké množství lůžkovin či starého oblečení. Vše budete mít uschováno pro případ potřeby a navíc chráněno před prachem. Při výběru postele je dobré brát v potaz její nosnost, která je v tomto případě 90 kg. Užijte si komfort této pohodlné válendy. Použité materiály Válenda je celočalouněná. Potahová látka vyniká svým vkusným abstraktním dekorem v oranžové barvě. Konstrukce stojí na decentních nožkách, které zajišťují správnou cirkulaci vzduchu pod postelí. Kvalitní...",https://www.kqzyfj.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fvalenda-iveta-80x200-oranzova-vc-matrace-a-up%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/valenda-iveta-80x200-oranzova-vc-matrace-a-up-default-123359.jpg,,,in stock,,,3499.00 CZK,,,,,,,,,NÁBYTEK > Postele > Válendy,Lamivex,2001001283773,690-0040/004,yes,new,,,,,,oranžová,,,,,,,,2 001 - 4 000,,,6,,,,,,,,,,:::1.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.991-07:00,60230,Vitrína vitrína portoriko t03 (bílá arctic/dub bardolino),"Vitrína z obývacího programu Portoriko vás na první pohled upoutá svou kombinací přírodního dekoru a bílé barvy. Netradiční tuto vitrínu dělá dekorativní zvlnění za skleněnými dvířkami. Dodává se včetně osvětlení, které toto plastické zdobení ještě více zvýrazní. Výhody: přehledný úložný prostor moderní kombinace bílé a dekoru dřeva integrované LED osvětlení Vnitřní výbava: 6x police (2x skleněná) 2x LED osvětlení v horní části bez trafa Materiál: materiál: LDTD/MDF, sklo dekor: bílá arctic/dub bardolino Dodávka: dodáváno ve smontovaném stavu",https://www.kqzyfj.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fportoriko-typ-03-bila-arctic-dub-bardolino%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/vitrina-vitrina-portoriko-t03-bila-arctic-dub-bardolino-default-56252.jpg,,,in stock,,,7699.00 CZK,,,,,,,6348,Nábytek > Sady nábytku > Sady nábytku do obývacího pokoje,NÁBYTEK > Dřevěný nábytek > Vitríny a závěsné skříňky > Vitríny,Decodom,8581740817650,580-0307/002,yes,new,,,,,,dub,,MDF,,,,,,6 001 - 10 000,,,9,"""1425"",""1405"",""1414"",""1417""",,,,,,,,,:::1.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.993-07:00,60276,"Válenda optima 110x200, s úp","Čalouněná válenda Optima Hledáte válendu do menší místnosti? Pokud potřebujte vybavit dětský pokojík nebo snad pokoj pro hosty, není lepší varianty než válenda Optima. Svými proporcemi se blíží jednolůžku, ale přesto má praktické rozměry 110x200 cm. Výhoda těchto válend je v tom, že nezaberou tolik místa, ale zároveň mají pestřejší využití. Kromě toho, že se na ní pohodlně vyspíte, můžete využít úložný prostor, který se nachází po celé ploše postele. Můžete do ní uložit lůžkoviny či povlečení pro vaše návštěvy. Přístup k tomuto prostoru je velice jednoduchý. Stačí pouze zvednout horní matraci. I vysoké čelo má své výhody. Rámuje jednu boční a celou zadní stranu postele. Díky němu nemusíte mít obavy z případného ničení okolní zdi. Pokud postel umístíte do prostoru, můžete o čelo opřít veškeré polštářky. Ty budou velmi příjemnou dekorací. Válenda je dodávána s roštem a matrací. Polštářky nejsou součástí, lze je dokoupit zvlášť. Použité materiály Válenda Optima by nebyla válendou,...",https://www.kqzyfj.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fvalenda-optima-110x200-s-up%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/valenda-optima-110x200-s-up-default-365581.jpg,,,in stock,,,10699.00 CZK,,,,,,,,,NÁBYTEK > Postele > Válendy,Fines,2001001284909,280-0276/001,yes,new,,,,,,černá,,,,,,,,10001 - 15 000,,,6,"""1003"",""1011"",""1014"",""1017"",""1030"",""1044"",""1058"",""1067"",""1069"",""1070"",""1073"",""1075"",""1076"",""1081"",""1091"",""1093"",""1022"",""1052"",""1015"",""1409"",""1405"",""1414"",""1417"",""1515"",""1420"",""1422""",,,,,,,,,:::1.00 CZK,,,,,,,
JENA-nabytek.cz,http://www.jena-nabytek.cz,Jena-nabytekCZ_google_all,2021-06-11T04:22:45.994-07:00,60288,"Čalouněná čalouněná postel george 120x200, fialová, vč. matrace a úp","Věnujte pár minut svého času naší video recenzi k bližšímu poznání postele George Video recenze má ilustrativní charakter. Válenda George se od postele popsané v naší video recenzi liší v dekoru a rozměrech ložné plochy. Praktické funkce válendy jsou totožné. Čalouněná postel George jako vkusný prvek pro každou ložnici Postel George je jednoznačnou ukázkou moderního designu. Střídající se barevné plochy uspořádané do strukturovaných linií velmi věrně připomínají okenní žaluzie. Každý prvek je typický jiným detailem, tato postel je jedinečná decentním abstraktním vzorem. Vkusný barevný svrchní motiv je doplněn fialovým tónem lemujícím spodní část postele. Aby byla vizuální stránka postele vyrovnána do rovnocenné polohy, velmi efektivní a na pohled lehce postřehnutelné jsou nohy postele. Velký úložný prostor Jakmile poodkryjeme další část našich pomyslných žaluzií, centrum pozornosti se přesune od spodní plochy do hlavního horizontu. V něm se nachází úložný prostor, který je v dnešní...",https://www.jdoqocy.com/click-3229932-13827553?url=https%3A%2F%2Fwww.jena-nabytek.cz%2Fcalounena-postel-george-120x200-fialova-vc-matrace-a-up%2F%23nopop,https://www.tqlkg.com/image-3229932-13827553,https://img.jena-nabytek.cz/gal/calounena-calounena-postel-george-120x200-fialova-vc-matrace-a-up-default-1643868.jpg,,,in stock,,,8999.00 CZK,,,,,,,,,NÁBYTEK > Postele > Čalouněné postele,Blanář,8591822012231,885-0052/002,yes,new,,,,,,fialová,,,,,,,,6 001 - 10 000,,,8,,,,,,,,,,:::1.00 CZK,,,,,,,
